image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.926487,car,car,True
drive_022,2,3,0.782359,car,car,True
drive_022,3,4,0.753967,van,car,False
drive_022,4,2,0.969271,bus,van,False
drive_022,5,5,0.876982,truck,bus,False
drive_033,1,1,0.976319,bus,van,False
drive_033,2,12,0.958176,bus,van,False
drive_033,3,3,0.84558,car,car,True
drive_033,4,11,0.894163,car,car,True
drive_033,5,8,0.885833,car,car,True
drive_033,6,10,0.872536,car,car,True
drive_033,7,6,0.782278,car,car,True
drive_033,9,7,0.930234,car,car,True
drive_033,10,4,0.714628,car,car,True
drive_033,11,5,0.853451,car,car,True
drive_033,16,9,0.870194,car,car,True
drive_033,23,2,0.901182,truck,bus,False
drive_038,1,2,0.91504,car,car,True
drive_038,2,3,0.916261,car,car,True
drive_038,3,5,0.86534,truck,bus,False
drive_038,4,9,0.924868,truck,bus,False
drive_038,5,7,0.846859,car,car,True
drive_038,6,16,0.896806,car,car,True
drive_038,8,14,0.859338,car,car,True
drive_038,9,8,0.859228,car,car,True
drive_038,10,13,0.850438,car,car,True
drive_038,11,10,0.894052,car,car,True
drive_038,12,11,0.857696,car,car,True
drive_038,13,6,0.922165,car,car,True
drive_038,14,12,0.707725,car,car,True
drive_008,1,6,0.869823,car,car,True
drive_008,2,4,0.932382,car,car,True
drive_008,3,11,0.891138,car,car,True
drive_008,4,16,0.931582,car,car,True
drive_008,5,2,0.869839,car,car,True
drive_008,7,7,0.859493,car,car,True
drive_008,8,13,0.667945,car,car,True
drive_008,9,14,0.864005,car,car,True
drive_008,12,15,0.389586,car,car,True
drive_008,24,9,0.977478,bus,van,False
drive_008,26,1,0.827775,truck,bus,False
drive_008,27,5,0.81574,van,truck,False
drive_008,28,3,0.926501,van,truck,False
drive_008,29,12,0.828895,van,truck,False
